wavelength,1,a,bb,a^2,a bb,bb^2,a^3,a^2 bb,a bb^2,bb^3,a^4,a^3 bb,a^2 bb^2,a bb^3,bb^4,a^5,a^4 bb,a^3 bb^2,a^2 bb^3,a bb^4,bb^5
495.0,-3.015401179503991,-0.7355806842747399,0.7919200156701852,-0.19484449100011933,0.430167910460514,-0.16303450852558185,0.03916844853097551,-0.14744563136774477,0.17100406776755742,-0.03290878242009063,-0.004822949699351827,0.015012072273659482,-0.03221799673987822,0.025370432432422957,-0.0017788810187991967,-0.00011629416084387862,-0.0004628705199869686,0.0014024672040385822,-0.0021318049607442213,0.0012833797428450366,-3.0172456992216823e-05
500.0,-3.023609613520114,-0.7209527932764763,0.7829415963027802,-0.20091317746057868,0.44364912405221313,-0.16959633934796936,0.039596573394128406,-0.15082863331544455,0.1767466943682922,-0.0350653102351197,-0.005266370400716101,0.015029972829498108,-0.032955182075935126,0.026350695523147758,-0.0021242296765615273,-0.00020451716537501282,-0.00044374522699763515,0.001396244071431324,-0.0021824320798400354,0.0013409531991643853,-4.934497673070304e-05
505.0,-3.030269112735169,-0.7095447321905255,0.7789291328310406,-0.2051703548361428,0.4531304930696025,-0.17307654897447664,0.0393664062021649,-0.15190635884988216,0.18114351237925042,-0.036423513525487075,-0.005515275528830815,0.014629117065021357,-0.03314441466723308,0.027148652531327585,-0.0023771730993341206,-0.0002887275677550112,-0.0004068063123478364,0.0013474337959081262,-0.002193872513398587,0.0013899292096890559,-6.459451895612922e-05
510.0,-3.036051358473079,-0.7027122086162931,0.7830527476108312,-0.20639899747013787,0.45608658333499347,-0.1711584050496763,0.038442677776827916,-0.14870431674270976,0.1832625362753082,-0.036321798180555184,-0.0052966210727956094,0.01346485103851768,-0.03229049144829891,0.0276241250369837,-0.0024567412941166517,-0.00035587422705910497,-0.00034057418076747934,0.001221838477526327,-0.0021299089671950044,0.001422897241021459,-7.235499951235846e-05
515.0,-3.0393806397661596,-0.6961916525444916,0.7858961989963191,-0.21028515475239073,0.46232197610823733,-0.17022584066238447,0.038546987907289644,-0.14849402524185554,0.18642967335834834,-0.03649495657509998,-0.004874624504431327,0.012804782934609227,-0.03208422148130015,0.028217053676301226,-0.0025669633758464024,-0.00036819501311893344,-0.0002932382408697471,0.001145259597698789,-0.002108323524729505,0.0014596902530936706,-8.127574057609221e-05
520.0,-3.0402487295497074,-0.6894517319271416,0.7857598366536593,-0.21641133811900592,0.47221292573981843,-0.17157540500555152,0.03937320977090545,-0.15182390801223364,0.1908453559238055,-0.037322029924980404,-0.004586985132463099,0.012722101581755393,-0.03269349470273545,0.028970735174560804,-0.00275509152601628,-0.00036296099490372636,-0.0002660448590545583,0.0011243321040803056,-0.0021424767237792075,0.001503331958645826,-9.346928428882739e-05
525.0,-3.040005864435242,-0.6849910382954629,0.7879375550896931,-0.2214882038795993,0.48000371698731326,-0.17158685100703847,0.04029161731704937,-0.15455746008168023,0.1945211310323351,-0.03781571766100708,-0.004189902491206133,0.012530395305943666,-0.03314485032510734,0.029611738627921495,-0.0029044195908949186,-0.00034923527502453953,-0.00023640934429542348,0.0010921764608675666,-0.0021641034425926575,0.0015407446946350545,-0.0001039548876492491
530.0,-3.039117340748874,-0.682948270389278,0.7932965036006593,-0.22489803119451926,0.48500412591720493,-0.16954654232993233,0.04134708328107184,-0.15603721450603023,0.19718720861984654,-0.0377600465589226,-0.0035925115623145726,0.012106813277951586,-0.03326645676615572,0.030095420735400967,-0.0029873720702671943,-0.0003241680251489167,-0.00020011573882389633,0.001036562006540398,-0.0021603374983230617,0.001569324019578766,-0.0001114676592919861
535.0,-3.037944840476964,-0.682870868660861,0.8011592001314318,-0.22644178212965552,0.4873812452851347,-0.1659050497711732,0.04259154301114539,-0.1562573349168398,0.19889084994706924,-0.03728175095477628,-0.0028072658476312076,0.011474197268535526,-0.03306123047294838,0.030425569928770383,-0.0030193254302818906,-0.0002861547796471175,-0.00016270603759297185,0.0009625284492205677,-0.002132055989356285,0.0015890498600910075,-0.0001166739490952029
540.0,-3.036568633916551,-0.6840542025875251,0.8104328527646129,-0.22638663667628153,0.48785335156872334,-0.16137647850610773,0.04406134984949253,-0.15570753000436618,0.19986647891282336,-0.03657329409091928,-0.0019033635275338666,0.01072772144841822,-0.032649675404969,0.030632686495706756,-0.003022956822023533,-0.00023778601333871788,-0.00012874541353320956,0.0008806587308670955,-0.002088356080752307,0.0016013198238395976,-0.0001205342813005994
