wavelength,ad,ag,aph
440,0.044212,0.121441,0.078343
440,0.076201,0.324587,0.076569
440,0.077897,0.232205,0.084655
440,0.032658,0.206569,0.091581
440,0.02925,0.565893,0.105919
440,0.050905,0.406237,0.079241
440,0.034474,0.077437,0.071462
440,0.11698,0.498282,0.100766
440,0.104009,0.494953,0.117288
440,0.038219,0.045378,0.072142
440,0.057715,0.21189,0.096724
440,0.031663,0.076812,0.111011
440,0.142169,0.26068,0.142189
440,0.01841,0.200435,0.125265
440,0.159703,0.180956,0.146521
440,0.124341,0.400504,0.139182
440,0.093497,0.71747,0.152987
440,0.09647,0.607186,0.127454
440,0.156994,0.236072,0.148267
440,0.015411,0.281516,0.13906
440,0.089451,0.402666,0.140929
440,0.135021,0.627042,0.144067
440,0.120235,0.184235,0.122222
440,0.118773,0.231685,0.131624
440,0.040792,0.414794,0.125321
440,0.070658,0.186871,0.132384
440,0.045056,0.553024,0.175773
440,0.051786,0.530894,0.142754
440,0.112402,0.490902,0.125576
440,0.012852,0.47254,0.133558
440,0.117385,0.093112,0.149088
440,0.05766,0.329831,0.14049
440,0.129768,0.123058,0.157289
440,0.122552,0.106917,0.136681
440,0.063444,0.629621,0.16658
440,0.052491,0.369648,0.123651
440,0.058264,0.101985,0.118833
440,0.117599,0.213852,0.124053
440,0.032337,0.596539,0.131877
440,0.042968,0.589911,0.12535
440,0.068953,0.538549,0.152287
440,0.044505,0.535271,0.117393
440,0.139236,0.575898,0.139498
440,0.082606,0.32504,0.132228
440,0.070392,0.246214,0.138373
440,0.045581,0.515939,0.147535
440,0.038206,0.329274,0.13583
440,0.027596,0.623467,0.122786
440,0.119643,0.245196,0.121652
440,0.095128,0.264239,0.185215
440,0.127848,0.455362,0.170389
440,0.109451,0.232984,0.157529
440,0.05773,0.176126,0.127042
440,0.051052,0.447834,0.162479
440,0.07999,0.383057,0.118062
440,0.111495,0.5422,0.128266
440,0.177943,0.077348,0.148772
440,0.105942,0.569563,0.135562
440,0.088818,0.057714,0.170936
440,0.136169,0.206633,0.132289
440,0.070156,0.36088,0.119136
440,0.045986,0.30731,0.129221
440,0.105207,0.312108,0.164248
440,0.03995,0.40719,0.124725
440,0.095591,0.73878,0.173417
440,0.136352,0.359387,0.13113
440,0.121807,0.723733,0.142579
440,0.107635,0.592401,0.122728
440,0.081068,0.514689,0.151152
440,0.137644,0.044092,0.141162
440,0.118618,0.65851,0.132007
440,0.119347,0.268651,0.157893
440,0.078749,1.100779,0.269258
440,0.08444,0.568433,0.256681
440,0.059889,0.51846,0.197514
440,0.098883,0.202599,0.195125
440,0.080633,0.879258,0.206934
440,0.187655,0.616824,0.218144
440,0.107369,1.041433,0.283493
440,0.040335,0.597312,0.200523
440,0.159535,0.79709,0.256473
440,0.142383,0.360591,0.202948
440,0.267017,0.337442,0.257243
440,0.03372,0.563444,0.207168
440,0.060815,0.086376,0.198745
440,0.147594,0.94764,0.211955
440,0.213366,0.885487,0.216409
440,0.124405,0.514792,0.200846
440,0.299773,0.280296,0.281645
440,0.3604,1.136421,0.293027
440,0.161056,0.943549,0.242813
440,0.181587,0.333164,0.217313
440,0.229633,0.87859,0.269258
440,0.183841,0.564594,0.256681
440,0.137467,0.276708,0.197514
440,0.099705,0.356423,0.195125
440,0.16695,0.657541,0.206934
440,0.225494,0.603941,0.218144
440,0.273299,0.453089,0.283493
440,0.126093,0.200917,0.200523
440,0.234331,0.15483,0.256473
440,0.178814,0.739392,0.202948
440,0.309843,1.071713,0.257243
440,0.079331,0.282876,0.207168
440,0.107445,0.956806,0.198745
440,0.03525,0.787684,0.211955
440,0.116864,0.623865,0.216409
440,0.154563,0.128512,0.200846
440,0.065131,0.564005,0.281645
440,0.199588,0.524574,0.293027
440,0.151,0.319747,0.242813
440,0.141689,0.729306,0.217313
440,0.184195,0.629006,0.269258
440,0.075492,0.8427,0.256681
440,0.192557,0.236696,0.197514
440,0.121937,0.786221,0.195125
440,0.052527,0.096654,0.206934
440,0.056438,0.301972,0.218144
440,0.065726,0.138546,0.283493
440,0.229649,0.125705,0.200523
440,0.255675,0.475235,0.256473
440,0.192327,0.494636,0.202948
